Latitude        Longitude          County
-----------------------------------------------
25.5584         -80.4582        Miami-Dade     
25.6694         -80.4085        Miami-Dade     
25.7378         -80.2248        Miami-Dade     
25.7664         -80.2317        Miami-Dade     
25.7743         -80.1937        Miami-Dade     
25.7907         -80.1300        Miami-Dade     
25.8321         -80.2094        Miami-Dade     
25.8570         -81.3778        Collier        
25.9450         -80.2145        Miami-Dade     
26.0218         -80.1891        Broward        
26.1221         -80.1390        Broward        
26.1290         -80.2601        Broward        
26.1423         -81.7960        Collier        
26.1502         -80.2745        Broward        
26.1513         -97.9185        Hidalgo        
26.2379         -80.1248        Broward        
26.2997         -80.1810        Broward        
26.3168         -80.2753        Broward        
26.3440         -97.8123        Willacy        
26.3446         -80.2109        Palm Beach     
26.3464         -80.1564        Palm Beach     
26.3587         -80.0831        Palm Beach     
26.4517         -80.1580        Palm Beach     
26.4546         -80.0656        Palm Beach     
26.4564         -80.0793        Palm Beach     
26.5529         -81.9486        Lee            
26.6065         -81.9502        Lee            
26.6700         -80.0582        Palm Beach     
26.6939         -81.9452        Lee            
26.7153         -80.0534        Palm Beach     
26.9212         -80.2144        Palm Beach     
26.9298         -82.0454        Charlotte      
26.9827         -82.1412        Charlotte      
27.0074         -82.0163        Charlotte      
27.1583         -99.3202        Zapata         
27.2866         -82.4770        Sarasota       
27.2939         -80.3503        St. Lucie      
27.5155         -99.4986        Webb           
27.7391         -82.6435        Pinellas       
27.7536         -97.4347        Nueces         
27.7709         -82.6793        Pinellas       
27.8397         -82.7912        Pinellas       
27.8450         -82.3125        Hillsborough   
27.8466         -82.7954        Pinellas       
27.8903         -82.0315        Polk           
27.8918         -82.7248        Pinellas       
27.9306         -82.4653        Hillsborough   
27.9318         -82.2950        Hillsborough   
27.9382         -82.3756        Hillsborough   
27.9425         -82.5057        Hillsborough   
27.9694         -80.6473        Brevard        
27.9750         -82.7019        Pinellas       
28.0096         -82.6967        Pinellas       
28.0345         -80.5887        Brevard        
28.0395         -81.9498        Polk           
28.0836         -80.6081        Brevard        
28.1880         -82.7346        Pasco          
28.1963         -81.6079        Polk           
