Latitude        Longitude             Zip 
------------------------------------------
30.1927         -81.6050             32257
27.9306         -82.4653             33606
29.3754         -82.2440             32686
26.1290         -80.2601             33337
28.7448         -81.2233             32716
26.4564         -80.0793             33444
28.3822         -81.5690             32830
27.2939         -80.3503             34985
27.9694         -80.6473             32909
26.3587         -80.0831             33481
25.7664         -80.2317             33135
29.6486         -81.6376             32178
26.6065         -81.9502             33904
30.4223         -87.2248             32501
30.2687         -81.7473             32210
28.2442         -82.7193             34656
28.5725         -81.1219             32820
26.1221         -80.1390             33394
28.3067         -80.6862             32924
29.9190         -82.2956             32622
25.7743         -80.1937             33257
26.4546         -80.0656             33483
30.4456         -86.5717             32579
28.6611         -82.1553             33513
28.0395         -81.9498             33804
26.9298         -82.0454             33980
29.2858         -81.0559             32175
27.8903         -82.0315             33863
28.7508         -82.5139             34446
29.4281         -82.2449             32681
28.3318         -82.2446             33525
25.5584         -80.4582             33092
25.8321         -80.2094             33151
28.1963         -81.6079             33837
26.4517         -80.1580             33446
26.0218         -80.1891             33021
29.3295         -83.1400             32692
28.8670         -82.5727             34423
30.6092         -84.4143             32333
26.9212         -80.2144             33478
28.0345         -80.5887             32911
25.7907         -80.1300             33239
25.8570         -81.3778             34139
30.4213         -87.2169             32523
26.7153         -80.0534             33402
30.4383         -84.2807             32302
28.5006         -81.5354             34786
27.8397         -82.7912             33775
30.3299         -81.6517             32202
25.7378         -80.2248             33133
29.9849         -81.8022             32079
28.0096         -82.6967             34695
30.5029         -82.9322             32052
27.0074         -82.0163             33983
30.4223         -84.9466             32321
26.3446         -80.2109             33428
28.0836         -80.6081             32902
26.1423         -81.7960             34107
28.6607         -81.1134             32766
27.8466         -82.7954             33772
27.2866         -82.4770             34233
28.9338         -81.9914             32163
26.9827         -82.1412             33948
30.6038         -86.1211             32435
26.2997         -80.1810             33073
25.6694         -80.4085             33186
28.5663         -81.2608             32887
27.7709         -82.6793             33730
28.5803         -81.4396             32808
29.8433         -82.4048             32658
29.4610         -82.6356             32621
28.9175         -81.9229             32158
28.8887         -81.7827             34788
27.9318         -82.2950             33508
27.9382         -82.3756             33619
27.8450         -82.3125             33569
29.0275         -81.3068             32723
25.9450         -80.2145             33163
26.1502         -80.2745             33322
26.2379         -80.1248             33074
29.4750         -81.1303             32136
25.7743         -80.1937             33111
27.7391         -82.6435             33705
28.9093         -81.1922             32738
26.5529         -81.9486             33932
29.9395         -82.8993             32008
28.2129         -82.6807             34655
26.3464         -80.1564             33433
26.6700         -80.0582             33405
28.1880         -82.7346             34692
29.0112         -82.0325             34491
26.6939         -81.9452             33909
28.3306         -81.3544             34743
30.4059         -85.1974             32449
28.5466         -82.5213             34613
27.8918         -82.7248             33743
27.9425         -82.5057             33609
27.9750         -82.7019             33759
26.3168         -80.2753             33076
26.1423         -81.7960             34106
41.8829         -87.7582             60644
38.5159         -88.4375             62823
41.8721         -87.6578             60607
37.8042         -88.2612             62979
42.0039         -87.9703             60009
39.7622         -89.6275             62703
39.0908         -89.3945             62017
41.0521         -90.5436             61412
37.1674         -89.3537             62969
37.8245         -88.9209             62951
41.1530         -88.6502             60470
42.1794         -87.8059             60035
40.0373         -87.8365             61841
42.1103         -88.0342             60095
38.4034         -87.8187             62855
38.6706         -90.1689             62090
42.0564         -88.0725             60196
40.9863         -90.5491             61435
39.1952         -89.9607             62685
42.1050         -89.0169             61052
42.3542         -88.2294             60051
42.4227         -88.6048             60033
40.2991         -88.3560             61843
39.7495         -89.6060             62794
41.9025         -87.7393             60651
41.7662         -88.1410             60540
40.2279         -89.8903             62633
42.2554         -89.0768             61104
42.2097         -87.8056             60037
41.9699         -87.7603             60630
42.3198         -88.4477             60098
40.3613         -89.3231             61721
39.7119         -88.7975             61925
41.5378         -88.0572             60432
40.7446         -88.7219             61726
42.3761         -89.6365             61013
41.8119         -87.6873             60685
41.5203         -90.5416             61299
42.0411         -87.6901             60204
40.7878         -90.0265             61572
41.7454         -87.7135             60652
38.8446         -89.0790             62885
40.4659         -88.3609             60936
41.7504         -88.7754             60556
40.0132         -89.4520             62634
37.2146         -89.1968             62976
42.4558         -89.9454             61059
39.1445         -89.1087             62080
39.8499         -89.2513             62539
42.1340         -87.9341             60090
42.4715         -90.2580             61075
41.8580         -89.3171             61031
39.2885         -89.8661             62626
42.1103         -88.0342             60094
40.1964         -88.3928             61853
