State         Abb.       Zip 
-----------------------------
Florida         FL      32257
Florida         FL      33606
Florida         FL      32686
Florida         FL      33337
Florida         FL      32716
Florida         FL      33444
Florida         FL      32830
Florida         FL      34985
Florida         FL      32909
Florida         FL      33481
Florida         FL      33135
Florida         FL      32178
Florida         FL      33904
Florida         FL      32501
Florida         FL      32210
Florida         FL      34656
Florida         FL      32820
Florida         FL      33394
Florida         FL      32924
Florida         FL      32622
Florida         FL      33257
Florida         FL      33483
Florida         FL      32579
Florida         FL      33513
Florida         FL      33804
Florida         FL      33980
Florida         FL      32175
Florida         FL      33863
Florida         FL      34446
Florida         FL      32681
Florida         FL      33525
Florida         FL      33092
Florida         FL      33151
Florida         FL      33837
Florida         FL      33446
Florida         FL      33021
Florida         FL      32692
Florida         FL      34423
Florida         FL      32333
Florida         FL      33478
Florida         FL      32911
Florida         FL      33239
Florida         FL      34139
Florida         FL      32523
Florida         FL      33402
Florida         FL      32302
Florida         FL      34786
Florida         FL      33775
Florida         FL      32202
Florida         FL      33133
Florida         FL      32079
Florida         FL      34695
Florida         FL      32052
Florida         FL      33983
Florida         FL      32321
Florida         FL      33428
Florida         FL      32902
Florida         FL      34107
Florida         FL      32766
Florida         FL      33772
Florida         FL      34233
Florida         FL      32163
Florida         FL      33948
Florida         FL      32435
Florida         FL      33073
Florida         FL      33186
Florida         FL      32887
Florida         FL      33730
Florida         FL      32808
Florida         FL      32658
Florida         FL      32621
Florida         FL      32158
Florida         FL      34788
Florida         FL      33508
Florida         FL      33619
Florida         FL      33569
Florida         FL      32723
Florida         FL      33163
Florida         FL      33322
Florida         FL      33074
Florida         FL      32136
Florida         FL      33111
Florida         FL      33705
Florida         FL      32738
Florida         FL      33932
Florida         FL      32008
Florida         FL      34655
Florida         FL      33433
Florida         FL      33405
Florida         FL      34692
Florida         FL      34491
Florida         FL      33909
Florida         FL      34743
Florida         FL      32449
Florida         FL      34613
Florida         FL      33743
Florida         FL      33609
Florida         FL      33759
Florida         FL      33076
Florida         FL      34106
Illinois        IL      60644
Illinois        IL      62823
Illinois        IL      60607
Illinois        IL      62979
Illinois        IL      60009
Illinois        IL      62703
Illinois        IL      62017
Illinois        IL      61412
Illinois        IL      62969
Illinois        IL      62951
Illinois        IL      60470
Illinois        IL      60035
Illinois        IL      61841
Illinois        IL      60095
Illinois        IL      62855
Illinois        IL      62090
Illinois        IL      60196
Illinois        IL      61435
Illinois        IL      62685
Illinois        IL      61052
Illinois        IL      60051
Illinois        IL      60033
Illinois        IL      61843
Illinois        IL      62794
Illinois        IL      60651
Illinois        IL      60540
Illinois        IL      62633
Illinois        IL      61104
Illinois        IL      60037
Illinois        IL      60630
Illinois        IL      60098
Illinois        IL      61721
Illinois        IL      61925
Illinois        IL      60432
Illinois        IL      61726
Illinois        IL      61013
Illinois        IL      60685
Illinois        IL      61299
Illinois        IL      60204
Illinois        IL      61572
Illinois        IL      60652
Illinois        IL      62885
Illinois        IL      60936
Illinois        IL      60556
Illinois        IL      62634
Illinois        IL      62976
Illinois        IL      61059
Illinois        IL      62080
Illinois        IL      62539
Illinois        IL      60090
Illinois        IL      61075
Illinois        IL      61031
Illinois        IL      62626
Illinois        IL      60094
Illinois        IL      61853
Illinois        IL      60585
Illinois        IL      62098
Illinois        IL      61704
Illinois        IL      61316
Illinois        IL      61655
Illinois        IL      61362
Illinois        IL      60053
Illinois        IL      60660
Illinois        IL      62355
Illinois        IL      61044
Illinois        IL      62417
Illinois        IL      61942
Illinois        IL      62027
Illinois        IL      62514
Illinois        IL      62677
Illinois        IL      61826
Illinois        IL      61436
Illinois        IL      61530
Illinois        IL      60096
Illinois        IL      62545
Illinois        IL      62440
Illinois        IL      61611
Illinois        IL      62206
Illinois        IL      61447
Illinois        IL      62667
Illinois        IL      62459
Illinois        IL      61089
Illinois        IL      62323
Illinois        IL      61831
Illinois        IL      62314
Illinois        IL      60455
Illinois        IL      60017
Illinois        IL      60912
Illinois        IL      61790
Illinois        IL      61085
Illinois        IL      60004
Illinois        IL      61105
Illinois        IL      62201
Illinois        IL      60048
Illinois        IL      62462
Illinois        IL      60941
Illinois        IL      62970
Illinois        IL      60559
Illinois        IL      60621
Illinois        IL      60915
Indiana         IN      47390
Indiana         IN      46127
Indiana         IN      46850
Indiana         IN      47638
Indiana         IN      47385
Indiana         IN      47303
Indiana         IN      46171
Indiana         IN      47683
Indiana         IN      47123
Indiana         IN      46405
Indiana         IN      47016
Indiana         IN      46960
Indiana         IN      46404
Indiana         IN      46998
Indiana         IN      46401
Indiana         IN      47848
Indiana         IN      47453
Indiana         IN      47160
Indiana         IN      46221
Indiana         IN      46122
Indiana         IN      47907
Indiana         IN      47871
Indiana         IN      46737
Indiana         IN      47223
Indiana         IN      46170
Indiana         IN      47960
Indiana         IN      47469
Indiana         IN      46373
Indiana         IN      46967
Indiana         IN      46244
Indiana         IN      47561
Indiana         IN      46382
Indiana         IN      47957
Indiana         IN      46714
Indiana         IN      46794
Indiana         IN      46782
Indiana         IN      46104
Indiana         IN      46251
Indiana         IN      47882
Indiana         IN      47857
Indiana         IN      46504
Indiana         IN      46788
Indiana         IN      46770
Indiana         IN      46573
Indiana         IN      47220
Indiana         IN      47126
Indiana         IN      46516
Indiana         IN      46904
Indiana         IN      46225
Indiana         IN      46545
Indiana         IN      47388
Indiana         IN      46161
Indiana         IN      47125
Indiana         IN      47712
Indiana         IN      46366
Indiana         IN      46953
Indiana         IN      47618
Indiana         IN      47576
Indiana         IN      47467
Indiana         IN      46945
Indiana         IN      46112
Indiana         IN      46815
Indiana         IN      46806
Indiana         IN      47351
Indiana         IN      46857
Indiana         IN      46613
Indiana         IN      47615
Indiana         IN      47579
Indiana         IN      46508
Indiana         IN      46526
Indiana         IN      46793
Indiana         IN      47245
Indiana         IN      46942
Indiana         IN      47925
Indiana         IN      46933
Indiana         IN      46939
Indiana         IN      46374
Indiana         IN      46562
Indiana         IN      47463
Indiana         IN      47918
Indiana         IN      47995
Indiana         IN      46868
Indiana         IN      46049
Indiana         IN      46322
Indiana         IN      46106
Indiana         IN      46186
Indiana         IN      47355
Indiana         IN      46929
Indiana         IN      47941
Indiana         IN      46118
Indiana         IN      47841
Indiana         IN      47145
Indiana         IN      47112
Indiana         IN      46746
Indiana         IN      47719
Indiana         IN      46295
Indiana         IN      47521
Indiana         IN      46052
Indiana         IN      46898
Indiana         IN      47427
Michigan        MI      48916
Michigan        MI      48877
Michigan        MI      49420
Michigan        MI      48001
Michigan        MI      49650
Michigan        MI      49655
Michigan        MI      48391
Michigan        MI      48838
Michigan        MI      48208
Michigan        MI      48883
Michigan        MI      48033
Michigan        MI      48017
Michigan        MI      48321
Michigan        MI      49645
Michigan        MI      48847
Michigan        MI      48438
Michigan        MI      49071
Michigan        MI      49279
Michigan        MI      48037
Michigan        MI      49228
Michigan        MI      49705
Michigan        MI      48662
Michigan        MI      49072
Michigan        MI      49316
Michigan        MI      48661
Michigan        MI      48015
Michigan        MI      48068
Michigan        MI      48220
Michigan        MI      48093
Michigan        MI      48862
Michigan        MI      49720
Michigan        MI      49903
Michigan        MI      49271
Michigan        MI      49063
Michigan        MI      49873
Michigan        MI      49034
Michigan        MI      49905
Michigan        MI      49874
Michigan        MI      49030
Michigan        MI      49848
Michigan        MI      48634
Michigan        MI      49747
Michigan        MI      48363
Michigan        MI      49224
Michigan        MI      48347
Michigan        MI      49509
Michigan        MI      49344
Michigan        MI      48435
Michigan        MI      48069
Michigan        MI      49067
Michigan        MI      48606
Michigan        MI      49861
Michigan        MI      48377
Michigan        MI      49204
Michigan        MI      49515
Michigan        MI      49674
Michigan        MI      48475
Michigan        MI      48720
Michigan        MI      49411
Michigan        MI      48027
Michigan        MI      49733
